"Name","Team","IP","FA-Z","FC-Z","FS-Z","SI-Z","CH-Z","SL-Z","CU-Z","CS-Z","KN-Z","SB-Z","playerid"
"Jason Vargas","- - -","420.1","8.2","5.9","","6.3","4.8","","-7.1","","","","8044"
"Kevin Gausman","- - -","624.2","8.2","","1.2","5.5","5.3","-0.4","-3.5","","","","14107"
"Jameson Taillon","- - -","450.0","8.1","5.3","","4.8","4.5","2.4","-8.9","","","","11674"
"Rick Porcello","- - -","628.0","8.1","","7.5","4.5","2.7","2.0","-7.2","","","","2717"
"Cole Hamels","- - -","483.2","8.0","4.0","","5.0","4.0","0.4","-6.7","","","","4972"
"Jordan Zimmermann","DET","407.1","8.0","9.7","","3.9","2.9","3.0","-4.7","","","","4505"
"Tyler Mahle","CIN","406.2","8.0","3.0","2.6","-0.4","4.3","-1.0","-5.2","","","","16358"
"Brandon Woodruff","MIL","373.0","8.0","4.4","","6.2","3.3","-0.6","-7.8","","","","16162"
"Gio Gonzalez","- - -","470.1","8.0","","","4.7","2.8","-0.2","-10.5","","","","7448"
"Merrill Kelly","ARI","331.2","8.0","5.6","","3.9","4.5","6.7","-8.0","","","","11156"
"Martin Perez","- - -","567.0","7.9","3.9","","4.8","4.3","0.6","-4.4","","","","6902"
"Mike Minor","- - -","533.1","7.9","","","6.2","5.5","1.2","-7.3","","","","10021"
"Jon Lester","- - -","665.1","7.9","4.8","","3.0","2.4","6.5","-4.5","","","","4930"
"Stephen Strasburg","WSN","541.0","7.9","","","5.0","1.0","2.8","-6.3","","","","10131"
"Zach Davies","- - -","583.2","7.8","5.4","","5.4","3.2","-1.4","-9.0","","","","13183"
"Johnny Cueto","SFG","362.2","7.8","","","4.5","0.8","2.4","-1.8","","","","6893"
"Kyle Hendricks","CHC","714.1","7.7","-7.4","","4.6","5.0","1.3","-8.6","","","","12049"
"Madison Bumgarner","- - -","560.2","7.7","3.1","","5.1","2.9","5.9","-4.1","-5.5","","","5524"
"Patrick Corbin","- - -","753.1","7.7","2.7","","5.5","5.1","-1.6","-1.9","","","","9323"
"Jose Berrios","MIN","714.2","7.7","","5.1","4.9","1.2","3.6","-3.0","","","","14168"
"Andrew Heaney","LAA","451.2","7.7","","","7.7","3.2","9.8","-3.4","","","","15423"
"Chad Kuhl","PIT","340.0","7.7","","-9.5","7.0","2.8","0.3","-7.3","","","","14975"
"Reynaldo Lopez","CHW","449.2","7.7","3.0","","5.2","4.7","0.4","-3.7","","","","16400"
"Noah Syndergaard","NYM","382.1","7.6","","","5.3","3.8","1.3","-2.5","","","","11762"
"Jeff Samardzija","SFG","450.1","7.6","5.9","3.9","4.8","3.8","3.1","-5.9","","","","3254"
"Brett Anderson","- - -","415.2","7.6","5.0","","4.3","3.5","-5.5","-9.7","","1.7","","8223"
"Alex Wood","- - -","424.0","7.6","1.7","2.5","6.4","1.2","-2.5","-3.0","","","","13781"
"David Price","- - -","362.2","7.6","4.0","","5.7","2.4","-2.3","-3.0","","","","3184"
"Matthew Boyd","DET","620.1","7.6","","","5.0","3.8","-1.4","-4.2","","","","15440"
"Joey Lucchesi","- - -","330.1","7.5","6.3","2.9","6.2","-1.7","8.0","-4.6","","","","19320"
"Lance Lynn","- - -","725.2","7.5","2.2","","3.1","2.8","-0.3","-6.3","","","","2520"
"Jack Flaherty","STL","470.0","7.5","-4.5","5.0","3.8","3.2","1.3","-8.3","","","","17479"
"Derek Holland","- - -","361.0","7.4","1.4","","5.1","6.9","1.1","-0.9","","","","4141"
"Max Scherzer","WSN","766.0","7.4","3.3","","7.9","0.1","0.0","-5.5","","","","3137"
"Corey Kluber","- - -","508.2","7.4","2.3","","3.9","1.4","-0.2","-0.3","","","","2429"
"Sandy Alcantara","MIA","393.0","7.4","4.0","","3.5","1.1","-0.1","-4.0","","","","18684"
"Aaron Sanchez","- - -","300.2","7.4","","","5.5","2.2","-2.6","-9.0","","","","11490"
"Sonny Gray","- - -","573.1","7.4","4.8","","4.4","3.8","-3.9","-8.4","-9.4","","","12768"
"Homer Bailey","- - -","368.2","7.4","","1.5","5.5","2.4","2.2","-6.2","","","","8362"
"Matt Harvey","- - -","388.2","7.3","","8.7","5.9","4.6","2.5","-4.4","","","","11713"
"Miles Mikolas","STL","388.2","7.3","","","5.6","2.7","0.7","-10.0","","","","9803"
"Nathan Eovaldi","- - -","318.1","7.3","4.4","0.0","3.3","","0.2","-7.1","","","","9132"
"Jake Arrieta","- - -","595.1","7.2","5.7","4.6","4.5","-0.4","2.4","-7.9","","","","4153"
"Chris Bassitt","OAK","363.2","7.2","3.5","","5.0","3.7","-1.8","-9.8","","","","12304"
"Carlos Carrasco","CLE","519.2","7.2","5.7","","3.4","-0.7","-1.4","-4.5","","","","6632"
"Eduardo Rodriguez","BOS","558.1","7.2","3.7","","4.8","2.2","0.0","9.1","","","","13164"
"CC Sabathia","NYY","408.0","7.1","5.3","","4.3","3.5","-0.7","","","","","404"
"Jhoulys Chacin","- - -","479.1","7.1","3.2","1.5","3.6","3.0","0.4","-4.2","","","","2608"
"Zach Eflin","PHI","512.0","7.1","4.7","","3.7","3.2","2.2","-5.7","","","","13774"
"Brad Keller","KCR","439.2","7.0","","","4.5","3.4","-3.4","3.4","","","","15734"
"Adam Wainwright","STL","517.2","7.0","2.3","","5.1","3.0","","-9.6","-8.2","","","2233"
"Trevor Williams","- - -","559.0","6.9","5.5","","2.7","3.5","-0.6","-3.6","","","","16977"
"Dallas Keuchel","- - -","623.2","6.9","3.1","","3.0","2.2","-2.7","4.4","","","","9434"
"German Marquez","COL","732.0","6.9","","-5.9","4.0","4.0","0.4","-4.3","","","","15038"
"Hyun-Jin Ryu","- - -","560.1","6.9","3.2","","4.2","2.6","-3.7","-9.7","-8.6","","","14444"
"Felix Hernandez","SEA","308.1","6.8","4.4","","4.2","-0.5","0.1","-6.8","-8.3","","","4772"
"Michael Pineda","- - -","335.1","6.7","","","3.4","3.5","-0.9","-1.6","","","","5372"
"Jakob Junis","KCR","491.1","6.7","6.3","","3.7","1.7","-2.6","-4.9","","","","13619"
"James Shields","CHW","321.0","6.7","2.6","","1.9","2.3","1.0","-4.4","-9.6","","","7059"
"Julio Teheran","- - -","570.0","6.6","","5.9","2.3","3.5","0.5","-3.7","","","","6797"
"Jose Urena","- - -","506.1","6.6","4.2","","4.7","4.9","2.7","4.3","","","","11589"
"Aaron Nola","PHI","760.2","6.5","3.2","-6.6","3.5","0.1","-3.8","-7.6","","","","16149"
"Jon Gray","COL","564.1","6.5","","","4.0","4.5","2.3","-5.1","","","","14916"
"Joe Musgrove","- - -","499.2","6.4","3.1","","2.6","1.7","-1.9","-8.2","","","","12970"
"Luis Castillo","CIN","628.1","6.4","","","2.2","0.2","-1.2","2.9","","","","15689"
"Pablo Lopez","MIA","328.1","6.4","3.9","","2.6","0.5","","-4.1","","","","17085"
"Charlie Morton","- - -","657.1","6.3","1.3","0.5","2.4","0.7","0.2","-7.4","","","","4676"
"Marcus Stroman","- - -","599.1","6.3","2.5","0.5","1.6","2.9","-1.1","-4.0","-4.0","","","13431"
"Carlos Martinez","STL","407.2","6.3","3.6","","1.9","-1.2","0.1","-1.9","","","","11682"
"Ivan Nova","- - -","554.0","6.2","3.6","","3.2","3.0","3.5","-4.9","","","","1994"
"Max Fried","ATL","336.0","6.0","","","4.6","2.2","-1.8","-11.8","","","","13743"
"Kyle Freeland","COL","575.2","6.0","1.8","","2.8","2.4","-2.9","4.2","","","","16256"
"Lance McCullers Jr.","HOU","391.1","6.0","2.3","","3.5","-0.1","2.0","-6.3","","","","14120"
"Antonio Senzatela","COL","476.1","6.0","4.2","","9.3","4.4","-0.6","-4.3","","","","15488"
"Chris Sale","BOS","519.2","6.0","4.3","6.1","1.7","-0.1","-3.7","-2.8","","","","10603"
"Clayton Richard","- - -","401.1","5.5","3.0","","0.8","0.9","-2.7","-2.5","","","","3551"
"Sean Manaea","OAK","519.2","5.1","4.5","-1.3","3.0","-0.3","-1.3","-2.1","","","","15873"
"Mike Leake","- - -","568.2","3.9","2.9","","1.3","-1.5","-2.1","-5.1","","","","10130"
"Zack Godley","- - -","397.1","3.8","4.0","","2.4","-0.2","-2.9","-6.3","","","","14862"
"Steven Matz","- - -","487.0","2.2","","","5.4","1.0","1.7","-6.6","","","","13361"
